Key,az,bg,en,hy,ka,pl,ro,ru,sr
resources.title,Resurslar,TODO:Ресурси,Resources,Ռեսուրսներ,რესურსები,TODO:Zasoby,Resurse,Ресурсы,TODO: Resursi
resources.info,"Bu bölmədə, seçki proseslərini müşahidə etmək və vətəndaş kimi qarşılaşdığınız hər hansı seçki problemi və ya qanun pozuntuları barədə məlumat vermək üçün hazırlanmış əsas məlumat və resursların olmasını gözləyin.","TODO:В този раздел ще намерите ключова информация и ресурси, предназначени да ви помогнат да наблюдавате изборните процеси и да докладвате за всякакви изборни проблеми или нередности, с които се сблъсквате като гражданин.","In this section, expect to have key information and resources designed to help you observe electoral processes and report any electoral issues or irregularities you encounter as a citizen.","Այս բաժնում կարող եք գտնել այն հիմնական տեղեկություններն ու ռեսուրսները, որոնք կօգնեն ձեզ վերահսկել ընտրական գործընթացները և տեղեկացնել ընտրական ցանկացած խնդրի կամ խախտման մասին՝ որպես քաղաքացի:","ამ განყოფილებაში სავარაუდოა, რომ თავმოყრილი იყოს ის ძირითადი ინფორმაცია და რესურსები, რომელიც დაგეხმარებათ დააკვირდეთ საარჩევნო პროცესებს და შეატყობინოთ ნებისმიერი საარჩევნო საკითხის ან დარღვევების შესახებ, როგორც მოქალაქემ.","TODO:W tej sekcji znajdziesz kluczowe informacje i zasoby zaprojektowane, aby pomóc Ci obserwować procesy wyborcze i zgłaszać wszelkie problemy lub nieprawidłowości wyborcze, które napotkasz jako obywatel.",În această secțiune vei găsi informații cheie și resurse concepute pentru a te ajuta să observi procesele electorale și să raportezi orice probleme sau nereguli electorale pe care le sesizezi ca cetățean.,"В этом разделе вы найдете ключевую информацию и ресурсы, которые помогут вам наблюдать за избирательными процессами и сообщать о любых проблемах или нарушениях в ходе выборов, с которыми вы столкнетесь как гражданин.",TODO: U ovom odeljku očekujte ključne informacije i resurse dizajnirane da vam pomognu da posmatrate izborne procese i prijavite bilo kakve izborne probleme ili nepravilnosti na koje naiđete kao građanin.
resources.empty.heading,Hələ oxumaq üçün bələdçi yoxdur,TODO:Все още няма ръководства за четене,No guides to read yet,Ընթերցելու ուղեցույցներ դեռևս չեն տեղադրվել,გზამკვლევები ჯერ არ განთავსებულა.,TODO:Brak jeszcze przewodników do przeczytania,Încă nu există ghiduri de citit,Пока нет путеводителей для чтения,TODO: Još nema vodiča za čitanje
resources.empty.paragraph,Seçki proseslərini müşahidə etmək və bir vətəndaş kimi problemlərlə bağlı məlumat verməklə bağlı təlimatlar və resurslar sizin əlinizdədir.,TODO:Ръководства и ресурси за наблюдение на изборните процеси и докладване на проблеми като гражданин на ваше разположение.,Guides and resources about observing electoral processes and reporting issues as a citizen at your hands.,Ձեռնարկներ և ռեսուրսներ ընտրական գործընթացները դիտարկելու և առկա խնդիրների մասին որպես քաղաքացի զեկուցելու վերաբերյալ: ,სახელმძღვანელოები და რესურსები საარჩევნო პროცესებზე დაკვირვებისა და მოქალაქის სტატუსით ანგარიშების შევსების შესახებ.,TODO:Przewodniki i zasoby dotyczące obserwacji procesów wyborczych i zgłaszania problemów jako obywatel są na wyciągnięcie ręki.,Aici vei găsi la îndemâna ta ghiduri și resurse despre observarea proceselor electorale și raportarea neregulilor din postura de cetățean.,Руководства и ресурсы по наблюдению за избирательными процессами и информированию о проблемах в качестве гражданина в ваших руках.,TODO: Vodiči i resursi o posmatranju izbornih procesa i prijavljivanju problema kao građanin su vam na dohvat ruke.
resources.types.Document,Fayl növü pdf,TODO:Тип файл PDF,Filetype PDF,Ֆայլի տեսակը՝ PDF,ფაილის ტიპი PDF,TODO:Typ pliku PDF,PDF atașat,Тип файла PDF,TODO: Tip fajla PDF
resources.types.Website,Xarici URL,TODO:Външен URL адрес,External URL,Արտաքին URL,გარე URL,TODO:Zewnętrzny adres URL,Link extern,Внешний URL-адрес,TODO: Spoljni URL
resources.types.Text,Tətbiq bələdçisində,TODO:Ръководство в приложението,In app guide,Հավելվածի ներքին ուղեցույց,აპლიკაციის შიდა გზამკვლევი,TODO:Przewodnik w aplikacji,Ghid integrat în aplicație,Инструкция в приложении,TODO: Vodič u aplikaciji
inbox.title,Bildirişlər,Пощенска кутия,Inbox,Inbox Մուտքի տուփ ,შეტყობინებები,Skrzynka odbiorcza,Inbox,Сообщения,Poštanski sandučić
inbox.empty.heading,Bildirişlər hələ qəbul edilməyib,Все още не е получено съобщение,No message received yet,Առայժմ որևէ հաղորդագրություն չի ստացվել,"შეტყობინებები ჯერ არ არის მიღებული
",Brak wiadomości,Momentan nu ai primit niciun mesaj,Сообщения пока не получены,Još nema primljene poruke
inbox.empty.paragraph,Burada sizin təşkilatdan bildirişlər və xəbərdarlıqlar görünəcək,Тук ще се появяват съобщения и предупреждения от Вашата организация.,Push messages and alerts from your organization will appear here.,Ձեր կազմակերպության հաղորդագրություններն ու ահազանգերը կհայտնվեն այստեղ,აქ გამოჩნდება შეტყობინებები და გაფრთხილებები თქვენი ორგანიზაციიდან  ,Tu pojawią się wiadomości i alerty przesłane przez Twoją organizację.,Aici vor apărea mesaje și alerte din partea organizației tale.,Здесь будут появляться сообщения и оповещения вашей организации ,Poruke i obaveštenja od vaše organizacije će se pojaviti ovde.
inbox.banner, {{ngoName}}-dən bildirişlər,Съобщения от {{ngoName}},Messages from {{ngoName}}, Հաղորդագրություններ {{ngoName}}-ից,"შეტყობინებები {{ngoName}}-დან
",Wiadomości od {{ngoName}},Mesaje de la {{ngoName}},Сообщения из {{ngoName}},Poruke iz {{ngoName}}
inbox.today,Bu gün,Днес,Today,Այսօր ,დღეს,Dzisiaj,Astăzi,Сегодня,Danas
inbox.your_organization,Sizin təşkilat,Вашата организация,your organization,Ձեր կազմակերպությունը ,თქვენი ორგანიზაცია,twoja organizacja,organizația ta,Ваша организация,vaša organizacija
inbox.menu.manage_polling_stations,Mənim seçki məntəqələrimin idarə edilməsi,Управление на моите изборни секции,Manage my polling stations,Իմ ընտրատեղամասերի կառավարումը,ჩემი საარჩევნო უბნების მართვა,Zarządzanie moimi komisjami wyborczymi,Vezi secțiile de votare vizitate,Управление моими избирательными участками,Upravljanje mojim biračkim mestima
inbox.info_modal.p1,Bu Gələnlər qutusunda sizi müşahidəçi kimi akkreditə etmiş QHT-dən canlı yeniləmələr və mesajlar alacaqsınız.,"В тази пощенска кутия очаквайте да получавате актуална информация и съобщения от НПО, която ви е акредитирала като наблюдател.",In this Inbox expect to receive live updates and messages from the NGO that accredited you as an observer.,"Այս մուտքարկղում կարող եք ստանալ ուղիղ թարմացումներ և հաղորդագրություններ այն հասաարակական կազմակերպությունից, որի անունից հետևում եք ընտրություններին: ","ამ ინბოქსში მიიღებთ პირდაპირ განახლებებს და შეტყობინებებს იმ არასამთავრობო ორგანიზაციისგან, რომლის სახელითაც აკვირდებით არჩევნებს","W tej skrzynce odbiorczej będziesz otrzymywać aktualizacje na żywo i wiadomości od organizacji pozarządowej, która akredytowała Cię jako obserwatora.",În acest Inbox vei primi actualizări în timp real și mesaje de la ONG-ul care te-a acreditat ca observator.,"В этой папке «Входящие» вы будете получать оперативные обновления и сообщения от НПО, которая аккредитовала вас в качестве наблюдателя.",U ovom poštanskom sandučetu očekujete da dobijete ažuriranja uživo i poruke od nevladine organizacije koja vas je akreditirala kao posmatrača.
inbox.info_modal.p2,Müşahidə fəaliyyətinizə aid olan hər hansı yeni məlumat alıb-almadığınızı görmək üçün vaxtaşırı yoxlayın.,"Проверявайте периодично дали не сте получили нова информация, свързана с Вашето наблюдение.","Check back periodically to see if you have received any new information, relevant to your observation activity.","Պարբերաբար ստուգեք, թե ստացել եք արդյոք նոր տեղեկություններ  դիտարկման ընթացքի վերաբերյալ:","პერიოდულად შეამოწმეთ, მიგიღიათ თუ არა ახალი ინფორმაცია დაკვირვების მიმდინარეობასთან  დაკავშირებით","Sprawdzaj okresowo, czy nie otrzymałeś nowych informacji istotnych dla Twojej aktywności obserwacyjnej.","Verifică periodic pentru a vedea dacă ai primit informații noi, relevante pentru activitatea ta de observare.","Периодически проверяйте, не получили ли вы новую информацию, относящуюся к вашей наблюдательной деятельности.",Proveravajte da li ste primili nove informacije vezane za vaše posmatranje.
updates.title,Yeniləmələr,TODO:Актуализации,Updates,Թարմացումներ,განახლებები,TODO:Aktualizacje,Actualizări,Обновления,TODO: Ažuriranja
updates.empty.heading,Hələ yeniləmələr alınmayıb,TODO:Все още няма получени актуализации,No updates received yet,Թարմացումներ դեռ չեն ստացվել,ჯერ არ მიგიღიათ განახლებები,TODO:Nie otrzymano jeszcze żadnych aktualizacji,Nu ai primit încă actualizări,Обновления пока не получены,TODO: Još nema primljenih ažuriranja
updates.empty.paragraph,Seçki dövrü ilə bağlı yeniliklər burada görünəcək.,TODO:Тук ще се появят актуализации относно изборния период.,Updates about electoral period will appear here.,Ընտրական շրջանի մասին թարմացումները կհայտնվեն այստեղ։,საარჩევნო პერიოდის შესახებ განახლებები გამოჩნდება აქ,TODO:Tutaj pojawią się aktualizacje dotyczące okresu wyborczego.,Actualizări sau informații noi despre perioada electorală vor apărea aici.,Обновления о предвыборном периоде будут появляться здесь.,TODO: Ažuriranja o izbornom periodu će se pojaviti ovde.
updates.info_modal.p1,Bu bölmədə vətəndaş fəallığı ilə maraqlanan bir vətəndaş kimi sizin üçün uyğun olan seçki dövrü ilə bağlı Səs Monitorinqi qrupundan canlı yeniləmələri alacağınızı gözləyin.,"TODO:В този раздел очаквайте да получавате актуални новини от екипа на Vote Monitor относно изборния период, които са от значение за вас като гражданин, интересуващ се от гражданска активност.",In this section expect to receive live updates from the Vote Monitor team regarding election period relevant to you as a citizen interested in civic engagement.,Որպես քաղաքացիական ներգրավվածությամբ շահագրգռված քաղաքացի այս բաժնում կստանաք ուղիղ թարմացումներ Vote Monitor թիմից՝ կապված ընտրությունների ժամանակաշրջանի հետ: ,როგორც სამოქალაქო ჩართულობით დაინტერესებული მოქალაქე ამ განყოფილებაში მიიღებთ პირდაპირ განახლებებს Vote Monitor-ის გუნდიდან საარჩევნო პერიოდის შესახებ,"TODO:W tej sekcji spodziewaj się otrzymywać bieżące aktualizacje od zespołu Vote Monitor dotyczące okresu wyborczego, istotne dla Ciebie jako obywatela zainteresowanego zaangażowaniem obywatelskim.","În această secțiune vei primi actualizări în timp real de la echipa Vote Monitor cu privire la perioada electorală, relevante pentru dumneavoastră ca cetățean interesat de implicarea civică.","В этом разделе вы будете получать оперативные обновления от команды Vote Monitor, касающиеся периода выборов и интересующие вас как гражданина, заинтересованного в гражданском участии.",TODO: U ovom odeljku očekujte da ćete primati ažuriranja uživo od tima Vote Monitor-a u vezi sa izbornim periodom koji je relevantan za vas kao građanina zainteresovanog za građanski angažman.
updates.info_modal.p2,Hər hansı yeni məlumat alıb-almadığınızı yoxlamaq üçün vaxtaşırı yoxlayın.,"TODO:Проверявайте периодично, за да видите дали сте получили нова информация.",Check back periodically to see if you have received any new information.,"Պարբերաբար ստուգեք, թե ստացել եք արդյոք նոր տեղեկություններ:  ","პერიოდულად შეამოწმეთ, მიგიღიათ თუ არა ახალი ინფორმაცია","TODO:Sprawdzaj okresowo, czy otrzymałeś jakieś nowe informacje.",Verifică periodic pentru a vedea dacă ai primit informații noi.,"Периодически заглядывайте сюда, чтобы проверить, не получили ли вы новую информацию.",TODO: Proveravajte periodično da li ste primili nove informacije.
more.title,Daha artıq,Още,More,Ավելին ,მეტი,Więcej,Altele,Больше,Još opcija
more.change-language,Aplikasiya dilinin dəyişdirilməsi,Променете езиковите настройки на приложението,Change app language,Փոխել հավելվածի լեզուն,აპლიკაციის ენის შეცვლა,Zmień język appki,Schimbă limba aplicației,Изменить язык аппликации,Promenite jezik aplikacije
more.change-password,Parolun dəyişdirilməsi,Променете паролата си,Change password,Փոխել գաղտնաբառը ,პაროლის შეცვლა,Zmień hasło,Schimbă parola,Изменить пароль,Promenite loziku
more.terms,Qaydalar və şərtlər,Правила и условия,Terms and Conditions,Կանոններ և պայմաններ ,წესები და პირობები,Zasady i warunki,Termeni și Condiții,Правила и условия,Uslovi korišćenja
more.privacy_policy,Gizlilik siyasəti,Политика на поверителност,Privacy Policy,Գաղտնիության քաղաքականություն,კონფიდენციალურობის პოლიტიკა,Polityka prywatności,Politica de Confidențialitate,Политика конфиденциальности,Politika privatnosti
more.about,Vote Monitor haqqında,За Vote Monitor,About Vote Monitor,Vote Monitor-ի մասին,"Vote Monitor-ის შესახებ
",O Vote Monitor,Despre Vote Monitor,Информация о Vote Monitor,Više o Vote Monitor
more.app_version,Vote Monitor versiyası  {{value}},Vote Monitor version {{value}},Vote Monitor version {{value}},Vote Monitor-ի տարբերակ {{value}},"Vote Monitor-ის ვერსია {{value}}
",Wersja Vote Monitor {{value}},Vote Monitor versiunea {{value}},Версия Vote Monitor {{value}},Vote Monitor verzija {{value}}
more.support,Qeyri-hökumət təşkilatının qaynar xəttinə zəng vurmaq,"Обадете се на телефоните, предоставени от регистриралата Ви организация",Call the NGO Hotline,Զանգահարել հասարակական կազմակերպության թեժ գծի հեռախոսահամարին ,"არასამთავრობო ორგანიზაციის ცხელ ხაზზე დარეკვა
",Zadzwoń na hotline NGO,Sună la call center,Звонок на горячую линию неправительственной организации,Stupite u kontakt sa našim kol centrom
more.feedback,Qarşılıqlı əlaqə aplikasiyası haqqında,Споделете обратна връзка за приложението,Offer app feedback,Հետադարձ կապ հավելվածի վերաբերյալ ,უკუკავშირი აპლიკაციის შესახებ,Masz uwagi do aplikacji?,Trimite-ne feedback-ul tău,Отзыв об аппликации,Ponudite povratne informacije o aplikaciji.
more.logout,Çıxış,Изход,Logout,Ելք ,გამოსვლა,Wyloguj,Deconectează-te,Выход,Odjava
more.logged_in,{{user}} olaraq daxil olubsunuz,Влезли сте като {{user}},Logged in as {{user}},Դուք մուտք եք գործել որպես {{user}},შესული ხართ როგორც  {{user}},Zalogowano jako {{user}},Conectat ca {{user}},Вы вошли как {{user}},Prijavljeni ste kao {{user}}
more.warning_modal.logout_offline.title,Diqqət: Sizin məlumatlar sinxronizasiya olunmayıb,Предупреждение: Вашите данни не са синхронизирани,Attention: You have unsynced data,Ուշադրություն՝ դուք ունեք չհամաժամեցված տվյալներ,ყურადღება: თქვენ გაქვთ დაუსინქრონიზებული მონაცემები,Ostrzeżenie: Twoje dane nie są zsynchronizowane,Atenție: Ai date nesincronizate,Внимание! У вас есть несинхронизированные данные,Upozorenje: Vaši podaci nisu sinhronizovani
more.warning_modal.logout_offline.description,"Hazırda oflayn rejimdəsiniz. Əgər indi sistemdən çıxsanız oflayn rejimdə olduğunuz zaman doldurduğunuz və ya yüklədiyiniz  hər hansı forma, əlavə fayl, yaxud qeyd itəcək. Məlumatların itirilməsinin qarşısını almaq üçün xahiş edirik, çıxış edənə kimi internet bağlantı yaradın və yalnız bundan sonra çıxa bilərsiniz. ","В момента сте офлайн. Ако излезете сега, всички формуляри, прикачени файлове или бележки, които сте попълнили или изпратили офлайн, ще бъдат загубени.

За да избегнете загуба на данни, свържете се отново с интернет, преди да излезете.","You are currently offline. If you log out now, any forms, attachments, or notes you have completed or uploaded during the offline mode will be lost.

To avoid losing your data, please reconnect to the internet before logging out.","Ներկա պահին դուք գտնվում եք անցանց ռեժիմում: Համակարգից դուրս գալու դեպքում  կկորչեն բոլոր ձևաթղթերը, կցված ֆայլերը և նշումները, որոնք լրացրել կամ ներբեռնել եք անցանց ռեժիմում գտնվելու ժամանակ:
Տվյալների կորստից խուսափելու համար նախքան դուրս գալը խնդրում ենք միանալ ինտերնետին  և  դրանից հետո միայն դուրս գալ համակարգից:","ამჟამად, თქვენ ხართ ოფლაინ რეჟიმში. თუ ახლა გამოხვალთ სისტემიდან, ნებისმიერი ფორმა, თანდართული ფაილი, თუ შენიშვნა, რომელიც ოფლაინ რეჟიმში ყოფნის დროს შეავსეთ ან ატვირთეთ, დაიკარგება. 
მონაცემთა დაკარგვის თავიდან ასაცილებლად, გთხოვთ, გამოსვლამდე დაუკავშირდით ინტერნეტს და მხოლოდ ამის შემდეგ გამოხვიდეთ. ","Aktualnie jesteś offline. Jeśli się teraz wylogujesz, wszystkie formularze, załączniki i notatki wypełnione lub przesłane offline zostaną utracone.

Aby uniknąć utraty danych, przed wylogowaniem połącz się ponownie z internetem.","Momentan nu ai conexiune la internet. Dacă te deconectezi acum, toate formularele, atașamentele sau notițele pe care le-ai completat sau încărcat fără conexiune se vor pierde.

Pentru a evita pierderea datelor, te rugăm să te reconectezi la internet înainte de deconectarea din aplicație.","Сейчас вы находитесь в режиме офлайн. Если вы сейчас выйдете из системы, то все формы, прикрепленные файлы или примечания, которые вы заполняли или загружали будучи в режиме офлайн, будут потеряны. Во избежание потери данных, пожалуйста, до выхода из системы подключитесь к интернету и только после этого выйдите из системы.","Trenutno ste van mreže. Ako se sada odjavite, svi obrasci, prilozi ili beleške koje ste popunili ili poslali van mreže biće izgubljeni.

Da biste izbegli gubitak podataka, ponovo se povežite na internet pre nego što se odjavite.."
more.warning_modal.logout_offline.cancel,Ləğv etmək,Откажи,Cancel,Չեղարկել ,გაუქმება,Anuluj,Renunță,Отмена,Otkaži
more.warning_modal.logout_offline.action,Çıxış,Изход,Logout,Ելք ,გამოსვლა,Wyloguj,Deconectează-te,Выход,Odjava
more.warning_modal.logout_online.title,Çıxmaq istədiyinizdən əminsiniz?,"Сигурни ли сте, че искате да излезете??",Are you sure you want to logout?,"Վստա՞հ եք, որ ցանկանում եք դուրս գալ:","დარწმუნებული ხართ, რომ გამოსვლა გსურთ?",Czy na pewno chcesz się wylogować?,Ești sigur că vrei să părăsești aplicația?,"Вы уверены, что хотите выйти?",Jeste li sigurni da se želite odjaviti?
more.warning_modal.logout_online.cancel,Ləğv etmək,Откажи,Cancel,Չեղարկել,გაუქმება,Anuluj,Renunță,Отмена,Otkaži
more.warning_modal.logout_online.action,Çıxış,Изход,Logout,Ելք ,გამოსვლა,Wyloguj,Deconectează-te,Выход,Odjava
more.feedback_toast.success,Əlaqə göndərildi!,Отзивите са изпратени!,Feedback sent!,Հետադարձ կապն ուղարկված է ,უკუკავშირი გაიგზავნა!,Wysłano opinię!,Feedback-ul a fost trimis!,Отзыв отправлен! ,Povratna informacija poslata!
more.feedback_toast.offline,Bu fəaliyyəti yerinə yetirmək üçün internet bağlantısı lazımdır.,"Имате нужда от интернет връзка, за да извършите това действие.",You need an internet connection in order to perform this action.,Այս գործողությունը կատարելու համար անհրաժեշտ է ինտերնետ կապ ,ამ მოქმედების შესასრულებლად საჭიროა კავშირი ინტერნეტთან.,"Aby wykonać tę akcję, potrzebujesz połączenia z Internetem.",Ai nevoie de conexiune la internet pentru a face acestă acțiune.,Для выполнения этого действия необходимо подключение к интернету,Potrebna vam je internet veza da biste izvršili ovu radnju.
more.feedback_toast.error,Qarşılıqlı əlaqə zamanı xəta qeydə alındı!,Грешка при добавяне на обратна връзка!,Error while adding feedback!,Հետադարձ կապն ավելացնելիս հայտնաբերվել է սխալ ,უკუკავშირის დამატებისას დაფიქსირდა შეცდომა!,Błąd podczas dodawania opinii!,Am întâmpinat o eroare la adaugarea feedback-ului!,Зафиксирована ошибка при добавлении отзыва!,Greška pri dodavanju povratnih informacija!
more.feedback_toast.required,Bu sütun mütləqdir,Това поле е задължително,This field is required,Այս դաշտը պարտադիր է ,ეს ველი სავალდებულოა,To pole jest wymagane,Acest câmp este obligatoriu.,Это поле необходимо заполнить,Polje je obavezno
more.feedback_sheet.heading,Öz rəyinizi göndərin,Изпратете ни вашето мнение,Send us your feedback,Ուղարկեք մեզ ձեր հետադարձ կապը,გამოგვიგზავნეთ თქვენი უკუკავშირი,Prześlij nam swoją opinię,Trimite-ne feedback-ul tău,Отправьте нам ваш отзыв,Pošaljite nam povratne informacije
more.feedback_sheet.p1,"Xahiş edirik, aplikasiyanın fəaliyyəti zamanı qarşılaşdığınız çatışmazlıqlar barədə bizə bildirin, yaxud Vote Monitorun gələcəkdə təkmilləşdirilməsi ilə bağlı tövsiyələrinizi bölüşün. Hər bir rəy bizim üçün dəyərlidir!","Моля, споделете с нас всички проблеми, които срещате, докато използвате приложението, или предложения за подобряване на Vote Monitor в бъдеще. Оценяваме всяко мнение!","Please tell us about any issues you might have encountered with the functioning of the app, or any suggestions you would like to share to improve Vote Monitor for the future. We appreciate every feedback!","Խնդրում ենք տեղեկացնել մեզ այն  խնդիրների մասին, որոնց բախվել եք հավելվածի աշխատանքի ընթացքում կամ կիսվեք ձեր առաջարկներով, թե ինչպես  կարող ենք բարելավել Vote Monitor-ը ապագայում: Ձեր հետադարձ կապը չափազանց կարևոր է մեզ համար: ","გთხოვთ, მოგვიყევით იმ ხარვეზების შესახებ, რასაც აპლიკაციის ფუნქციონირებისას წააწყდით, ან გაგვიზიარეთ რეკომენდაციები, თუ როგორ შეგვიძლია Vote Monitor-ის გაუმჯობესება მომავალში. ვაფასებთ თითოეულ უკუკავშირს!
","Podziel się z nami wszelkimi problemami, które napotkasz podczas korzystania z aplikacji lub sugestiami dotyczącymi ulepszenia Vote Monitor w przyszłości. Jesteśmy wdzięczni za każdą opinię!",Te rugăm să ne spui despre orice problemă pe care ai întâlnit-o în funcționarea aplicației sau orice sugestie pe care dorești să o împărtășești pentru a îmbunătăți Vote Monitor pe viitor. Apreciem orice feedback!,"Пожалуйста, расскажите нам о любых проблемах, с которыми вы могли столкнуться при работе аппликации, или о любых предложениях, которыми вы хотели бы поделиться, чтобы улучшить работу Vote Monitor в будущем. Мы ценим каждый отзыв.",Podelite sa nama sve probleme na koje naiđete dok koristite aplikaciju ili predloge za poboljšanje Vote Monitor u budućnosti. Cenimo svako mišljenje!
more.feedback_sheet.placeholder,Burada öz rəyinizi yazın...,Напишете вашето мнение тук...,Write your feedback here...,Այստեղ գրեք ձեր հետադարձ կապը ... ,აქ დაწერეთ თქვენი უკუკავშირი..,Napisz tutaj swoją opinię...,Scrie feedback-ul tău aici...,Напишите свой отзыв здесь!,Napišite svoje povratne informacije ovde...
more.feedback_sheet.cancel,Ləğv etmək,Откажи,Cancel,Չեղարկել ,გაუქმება,Anuluj,Renunță,Отмена,Otkaži
more.feedback_sheet.action,Göndərmək,Изпратете,Send,Ուղարկել ,გაგზავნა,Wysłać,Trimite,Отправить,Pošalji
more.feedback_sheet.input.max,Əlavə edilmiş mətn  {{value}}  simvoldan artıq olmamalıdır,Въведеното не може да надвишава {{value}} знака,Input cannot exceed {{value}} characters,Մուտքագրված տեքստը չպետք է գերազանցի {{value}} խորհրդանիշը ,შეყვანილი ტექსტი არ უნდა აღემატებოდეს {{value}} სიმბოლოს,Dane wejściowe nie mogą przekraczać {{value}} znaków,Câmpul nu poate depăși {{value}} caractere,Введенный текст не должен превышать количество символов {{value}}.,Unos ne može preći preko {{value}} karaktera
more.options_sheet.manage_my_polling_stations,Mənim seçki məntəqələrimin idarə edilməsi,Управление на моите изборни секции,Manage my polling stations,Իմ ընտրատեղամասերի կառավարումը ,ჩემი საარჩევნო უბნების მართვა,Zarządzanie moimi komisjami wyborczymi,Vezi secțiile de votare vizitate,Управление моими избирательными участками,Upravljanje mojim biračkim mestima
change_password.title,Parolun dəyişdirilməsi,Смяна на парола,Change password,Փոխել գաղտնաբառը ,პაროლის შეცვლა,Zmień hasło,Schimbă parola,Изменить пароль,Promeni lozinku
change_password.form.current_password.label,Mövcud parol*,Настояща парола *,Current password *,Ներկայիս գաղտնաբառը * ,არსებული პაროლი *,Obecne hasło *,Parola curentă *,Существующий пароль*,Trenutna lozinka *
change_password.form.current_password.placeholder,Mövcud parolunuzu yazın,Въведете текущата парола,Insert current password,Մուտքագրեք ձեր ներկայիս գաղտնաբառը ,შეიყვანეთ თქვენი არსებული პაროლი,Wpisz aktualne hasło,Te rugăm să introduci parola curentă,Введите существующий пароль,Unesite aktuelnu lozinku
change_password.form.current_password.required,Parol mütləqdir,Паролата е задължителна,Password is mandatory,Գաղտնաբառը պարտադիր է ,პაროლი სავალდებულოა,Hasło jest obowiązkowe,Parola este obligatorie,Внесение пароля обязательно,Lozinka je obavezna
change_password.form.current_password.credentials_error,Mövcud parol səhvdir,Текущата парола е неправилна,The current password is incorrect,Մուտքագրված գաղտնաբառը սխալ է ,არსებული პაროლი არასწორია,Bieżące hasło jest nieprawidłowe,Parola curentă este incorectă,Внесенный пароль неверный ,Trenutna lozinka je netačna
change_password.form.new_password.label,Yeni parol,Нова парола*,New password *,Նոր գաղտնաբառ ,ახალი პაროლი,Nowe hasło *,Parola nouă *,Новый пароль,Nova lozinka *
change_password.form.new_password.placeholder,Yeni parolu yazın,Въведете нова парола,Insert new password,Մուտքագրեք նոր գաղտնաբառը ,შეიყვანეთ ახალი პაროლი,Wprowadź nowe hasło,Te rugăm să introduci parola nouă,Введите новый пароль,Unesite novu lozinku
change_password.form.new_password.helper,Ən az 8 simvoldan ibarət olmalıdır,Трябва да е поне 8 символа.,Must be at least 8 characters,Գաղտնաբառը պետք է պարունակի առնվազն 8 խորհրդանիշ ,უნდა შეიცავდეს მინიმუმ 8 სიმბოლოს,Musi zawierać co najmniej 8 znaków.,Parola trebuie să conțină cel puțin 8 caractere,Пароль должен содержать не менее 8 символов,Lozinka mora sadržati najmanje 8 karaktera.
change_password.form.new_password.required,Parol mütləqdir,Паролата е задължителна,The new password is mandatory,Գաղտնաբառը պարտադիր է ,პაროლი აუცილებელია,Hasło jest obowiązkowe,Parola nouă este obligatorie,Необходимо ввести пароль,Lozinka je obavezna
change_password.form.confirm_password.label,Yeni parolu təsdiq edin*,Потвърдете новата парола *,Confirm new password *,Հաստատեք նոր գաղտնաբառը * ,დაადასტურეთ ახალი პაროლი *,Potwierdź nowe hasło *,Confirmă parola nouă *,Подтвердите новый пароль*,Potvrdite novu lozinku *
change_password.form.confirm_password.placeholder,Parolu təsdiq edin,Потвърди парола,Confirm password,Հաստատեք գաղտնաբառը ,დაადასტურეთ პაროლი,Potwierdź hasło,Confirmă parola nouă,Подтвердите пароль,Potvrdite novu lozinku
change_password.form.confirm_password.helper,İki parol bir-birinə uyğun gəlməlidir,Двете пароли трябва да съвпадат.,Both passwords must match.,Գաղտնաբառերը պետք է համընկնեն ,ორივე პაროლი უნდა ემთხვეოდეს ერთმანეთს,Oba hasła muszą być takie same.,Parolele trebuie să coincidă,Оба пароля должны совпадать,Obe lozinku moraju biti identične.
change_password.form.confirm_password.required,Parol mütləqdir,Паролата е задължителна,The new password is mandatory,Գաղտնաբառը պարտադիր է ,პაროლი სავალდებულოა,Hasło jest obowiązkowe,Parola nouă este obligatorie,Необходимо ввести пароль,Lozinka je obavezna
change_password.form.confirm_password.no_match,Parollar bir-birinə uyğun deyil,Паролите не съвпадат.,Passwords do not match,Գաղտնաբառերը չեն համընկնում,პაროლები ერთმანეთს არ ემთხვევა,Hasła nie są takie same.,Parolele nu coincid,Пароли не совпадают,Lozinke se ne poklapaju.
change_password.form.save,Yeni parolu yadda saxlayın,Запазете новата парола,Save new password,Պահպանեք նոր գաղտնաբառը ,შეინახეთ ახალი პაროლი,Zapisz nowe hasło,Salvează parola nouă,Сохраните новый пароль,Potvrdite promenu šifre
change_password.confirmation.heading,Parol dəyişdirildi!,Паролата е сменена!,Password changed!,Գաղտնաբառը փոխված է ,პაროლი შეცვლილია!,Hasła zmienione!,Parolă schimbată!,Пароль изменен,Lozinka je promenjena!
change_password.confirmation.paragraph,Sizin parol uğurla dəyişdirildi.,Вашата парола е сменена успешно.,Your password has been successfully changed.,Ձեր գաղտնաբառը հաջողությամբ փոխվել է ,თქვენი პაროლი წარმატებით შეიცვალა.,Hasło zostało skutecznie zmienione.,Parola ta a fost schimbată cu succes!,Ваш пароль успешно изменен,Vaša lozinka je uspešno promenjena.
